
100 5.212e-05
200 0.000598073
300 0.000421222
400 0.000786358
500 0.00121232
600 0.00164283
700 0.0015401
800 0.00152722
900 0.00147665
1000 0.00180479
1100 0.00217896
1200 0.00265264
1300 0.00305949
1400 0.00353059
1500 0.0041128
1600 0.00460931
1700 0.00519661
1800 0.00488017
1900 0.00480207
2000 0.0054262
2100 0.00594944
2200 0.00647235
2300 0.00708953
2400 0.00773845
2500 0.00835187
2600 0.00915431
2700 0.00968932
2800 0.0101919
2900 0.0113304
3000 0.0120874
3100 0.0129218
3200 0.0136555
3300 0.0145595
3400 0.0153626
3500 0.0162049
3600 0.0172909
3700 0.0183776
3800 0.0193313
3900 0.0200785
4000 0.0213484
4100 0.022265
4200 0.0241851
4300 0.024801
4400 0.0253836
4500 0.027143
4600 0.0282593
4700 0.0292282
4800 0.0306247
4900 0.0320009
5000 0.0333655
5100 0.034477
5200 0.03578
5300 0.0372044
5400 0.038699
5500 0.0391968
5600 0.0421283
5700 0.0418048
5800 0.0438247
5900 0.0454984
6000 0.04728
6100 0.0481302
6200 0.0511044
6300 0.0514073
6400 0.0539739
6500 0.0545809
6600 0.0571739
6700 0.0579637
6800 0.0612914
6900 0.0623098
7000 0.0714423
7100 0.0972139
7200 0.0849283
7300 0.0711091
7400 0.072774
7500 0.0749161
7600 0.0742632
7700 0.0791446
7800 0.0794994
7900 0.0830305
8000 0.0830679
8100 0.0867488
8200 0.0873173
8300 0.0900896
8400 0.091388
8500 0.0945449
8600 0.0969949
8700 0.0996116
8800 0.101182
8900 0.102248
9000 0.106142
9100 0.107246
9200 0.109436
9300 0.113682
9400 0.116229
9500 0.118194
9600 0.11862
9700 0.122437
9800 0.125293
9900 0.126618
10000 0.131514
