
500 0.000431266
1500 0.00135731
2500 0.00225551
3500 0.0024255
4500 0.0012987
5500 0.00159818
6500 0.00191616
7500 0.00220069
8500 0.00250051
9500 0.00279453
10500 0.00307698
11500 0.00337335
12500 0.00388847
13500 0.00379852
14500 0.00399843
15500 0.00428535
16500 0.00450616
17500 0.00491017
18500 0.00507063
19500 0.0053356
20500 0.00579051
21500 0.0059001
22500 0.00614822
23500 0.00630729
24500 0.00658517
25500 0.00693389
26500 0.00711824
27500 0.00702687
28500 0.0072041
29500 0.00781125
30500 0.00776198
31500 0.00785491
32500 0.00881805
33500 0.00859276
34500 0.00848371
35500 0.00918676
36500 0.00898074
37500 0.00885005
38500 0.00981158
39500 0.00959017
40500 0.00950492
41500 0.0105431
42500 0.0107723
43500 0.0110674
44500 0.0107872
45500 0.0108063
46500 0.0114857
47500 0.011358
48500 0.0121503
49500 0.0116244
