
500 0.000122103
1500 0.000417047
2500 0.000859939
3500 0.00123669
4500 0.00197758
5500 0.00308185
6500 0.00366892
7500 0.00357142
8500 0.00224849
9500 0.00252043
10500 0.00276967
11500 0.00305686
12500 0.00332741
13500 0.00361589
14500 0.00396328
15500 0.0041828
16500 0.00464723
17500 0.0048522
18500 0.00514744
19500 0.00547888
20500 0.00568238
21500 0.00602099
22500 0.00616909
23500 0.00647671
24500 0.00678303
25500 0.00693483
26500 0.00723351
27500 0.00760115
28500 0.00782685
29500 0.00795184
30500 0.00827926
31500 0.00851905
32500 0.00878093
33500 0.00981339
34500 0.00986359
35500 0.0100149
36500 0.0104053
37500 0.0104234
38500 0.0106492
39500 0.0112645
40500 0.0110013
41500 0.0125842
42500 0.0120956
43500 0.0122554
44500 0.0122541
45500 0.0130157
46500 0.0133831
47500 0.0135747
48500 0.0140824
49500 0.0142091
